Recall,Precision_pedestrian,Precision_people,Precision_bicycle,Precision_car,Precision_van,Precision_truck,Precision_tricycle,Precision_awning-tricycle,Precision_bus,Precision_motor
0.05606,0.97656,0.89286,0.70000,0.97778,0.89600,0.91045,0.84286,0.52381,1.00000,0.89677
0.05706,0.97533,0.89286,0.70000,0.97735,0.89375,0.91045,0.82895,0.52381,1.00000,0.89540
0.05806,0.97533,0.89286,0.70000,0.97735,0.89375,0.91045,0.82895,0.52381,1.00000,0.89540
0.05906,0.97533,0.89286,0.70000,0.97685,0.89375,0.91045,0.82895,0.52381,1.00000,0.89540
0.06006,0.97533,0.89286,0.69565,0.97614,0.89375,0.91045,0.82895,0.52381,1.00000,0.89540
0.06106,0.97533,0.89286,0.69565,0.97614,0.89375,0.91045,0.82051,0.52381,1.00000,0.89540
0.06206,0.97533,0.89286,0.69565,0.97585,0.89375,0.91045,0.81707,0.52239,1.00000,0.89540
0.06306,0.97533,0.89286,0.68333,0.97585,0.89375,0.91045,0.81707,0.52239,1.00000,0.89540
0.06406,0.97533,0.89286,0.67742,0.97540,0.89375,0.91045,0.81707,0.52239,1.00000,0.89540
0.06507,0.97533,0.89286,0.67742,0.97540,0.89375,0.91045,0.81395,0.52239,1.00000,0.89540
0.06607,0.97533,0.89286,0.67669,0.97540,0.89375,0.91045,0.81395,0.50704,1.00000,0.89540
0.06707,0.97512,0.89286,0.67669,0.97540,0.89375,0.91045,0.80682,0.50704,1.00000,0.89540
0.06807,0.97512,0.89286,0.67669,0.97540,0.89375,0.91045,0.79787,0.50000,1.00000,0.89540
0.06907,0.97512,0.89286,0.67669,0.97540,0.89375,0.91045,0.79787,0.50000,1.00000,0.89540
0.07007,0.97512,0.89286,0.66667,0.97540,0.89375,0.91045,0.79787,0.50000,1.00000,0.89540
0.07107,0.97445,0.89286,0.66667,0.97540,0.89375,0.91045,0.79787,0.50000,1.00000,0.89540
0.07207,0.97445,0.89286,0.66667,0.97540,0.89375,0.91045,0.78351,0.50000,1.00000,0.89540
0.07307,0.97445,0.89286,0.66667,0.97540,0.89268,0.91045,0.77000,0.50000,1.00000,0.89540
0.07407,0.97445,0.89286,0.66667,0.97540,0.89268,0.91045,0.76991,0.50000,1.00000,0.89540
0.07508,0.97445,0.89286,0.66667,0.97540,0.89268,0.91045,0.76991,0.50000,1.00000,0.89540
