                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4138,                  1.157,                 1.1191,                 0.4914,                0.38354,                0.38954,                0.21623,                 1.3959,                  1.019,                  1.084,              0.0018515,              0.0018515,              0.0018515
                     36,                 1.4074,                 1.1504,                 1.1198,                0.48579,                0.38667,                0.39076,                0.21479,                 1.4079,                  1.018,                 1.0864,               0.001847,               0.001847,               0.001847
                     37,                 1.3955,                 1.1374,                 1.1141,                0.49328,                0.38674,                0.39398,                0.21679,                 1.4171,                 1.0144,                 1.0877,              0.0018425,              0.0018425,              0.0018425
                     38,                 1.3917,                 1.1266,                 1.1089,                0.50525,                0.38925,                 0.3984,                0.21997,                 1.3929,                 1.0107,                 1.0785,               0.001838,               0.001838,               0.001838
                     39,                 1.3853,                  1.118,                  1.111,                0.49038,                0.40122,                 0.4005,                0.22111,                 1.4043,                 1.0045,                 1.0798,              0.0018335,              0.0018335,              0.0018335
                     40,                 1.3877,                 1.1165,                 1.1061,                0.49034,                0.39971,                0.40313,                0.22482,                 1.3759,                0.99453,                  1.072,               0.001829,               0.001829,               0.001829
                     41,                 1.3894,                 1.1167,                 1.1076,                0.49591,                0.39924,                0.40636,                0.22324,                 1.4247,                 1.0001,                 1.0828,              0.0018245,              0.0018245,              0.0018245
                     42,                 1.3914,                 1.1088,                 1.1036,                0.49302,                 0.4015,                0.40572,                0.22467,                 1.4043,                0.99622,                 1.0776,                0.00182,                0.00182,                0.00182
                     43,                 1.3725,                 1.0974,                 1.0981,                0.50509,                0.40069,                  0.408,                0.22725,                 1.3948,                0.99025,                 1.0748,              0.0018155,              0.0018155,              0.0018155
                     44,                 1.3669,                 1.0823,                 1.1002,                0.49364,                0.40724,                0.40808,                0.22689,                 1.3964,                0.98604,                 1.0748,               0.001811,               0.001811,               0.001811
                     45,                 1.3838,                 1.0978,                 1.1036,                0.50928,                0.40874,                0.41437,                0.23009,                 1.3997,                0.98304,                 1.0744,              0.0018065,              0.0018065,              0.0018065
                     46,                 1.3614,                 1.0798,                 1.0949,                0.50635,                0.41076,                0.41784,                0.23241,                 1.3974,                0.97845,                 1.0733,               0.001802,               0.001802,               0.001802
                     47,                 1.3561,                 1.0704,                 1.0948,                0.50848,                0.40855,                0.41649,                0.23244,                  1.396,                0.97342,                 1.0715,              0.0017975,              0.0017975,              0.0017975
                     48,                   1.36,                 1.0674,                 1.0927,                0.50748,                0.41491,                0.41877,                0.23309,                 1.3913,                 0.9711,                 1.0703,               0.001793,               0.001793,               0.001793
                     49,                  1.358,                 1.0659,                 1.0904,                0.51372,                0.41905,                0.42337,                 0.2362,                 1.3848,                0.96822,                 1.0666,              0.0017885,              0.0017885,              0.0017885
                     50,                 1.3536,                 1.0592,                 1.0926,                0.50942,                0.41671,                0.42421,                0.23661,                 1.3923,                0.96611,                 1.0689,               0.001784,               0.001784,               0.001784
                     51,                 1.3465,                 1.0517,                 1.0836,                0.51475,                0.41609,                0.42702,                0.23922,                 1.3828,                0.96248,                 1.0653,              0.0017795,              0.0017795,              0.0017795
                     52,                  1.358,                 1.0579,                 1.0888,                0.51725,                0.41858,                0.43095,                 0.2421,                 1.3733,                0.95569,                 1.0636,               0.001775,               0.001775,               0.001775
                     53,                 1.3387,                 1.0429,                 1.0824,                0.52038,                0.41948,                0.42984,                0.24329,                 1.3555,                0.95344,                 1.0586,              0.0017705,              0.0017705,              0.0017705
